WKT,name,description
"POINT (-97.4392916 35.2135457)",Point 1,
"POLYGON ((-97.4470867 35.200904, -97.4470977 35.199769, -97.4442647 35.199773, -97.444265 35.200913, -97.4470867 35.200904))",Polygon 0,
"POLYGON ((-97.447095 35.200909, -97.444265 35.200913, -97.44426 35.202103, -97.447093 35.202103, -97.447095 35.200909))",Polygon 1,
"POLYGON ((-97.441285 35.207482, -97.443424 35.207484, -97.443496 35.20646, -97.444102 35.206384, -97.444255 35.206268, -97.444253 35.203888, -97.441284 35.203876, -97.441292 35.204703, -97.441224 35.204889, -97.440972 35.205193, -97.440928 35.205364, -97.440919 35.206358, -97.440947 35.206484, -97.441003 35.206594, -97.441176 35.206812, -97.441258 35.206966, -97.441287 35.207104, -97.441285 35.207482))",Polygon 2,
"POLYGON ((-97.444247 35.203888, -97.447065 35.203898, -97.447093 35.202103, -97.44426 35.202103, -97.444247 35.203888))",Polygon 3,
"POLYGON ((-97.444247 35.203888, -97.444225 35.207454, -97.444855 35.207459, -97.446789 35.20748, -97.447915 35.207491, -97.447917 35.206891, -97.447926 35.203892, -97.447065 35.203898, -97.444247 35.203888))",Polygon 4,
"POLYGON ((-97.444247 35.203888, -97.444257 35.202554, -97.443891 35.202558, -97.443286 35.202602, -97.443173 35.202678, -97.443175 35.202792, -97.442898 35.202815, -97.442371 35.202835, -97.441336 35.202826, -97.441278 35.203876, -97.444247 35.203888))",Polygon 5,
"POLYGON ((-97.441336 35.202826, -97.441318 35.202507, -97.440188 35.202507, -97.440175 35.203883, -97.441278 35.203876, -97.441336 35.202826))",Polygon 6,
"POLYGON ((-97.441318 35.202507, -97.441336 35.202826, -97.442251 35.202834, -97.442252 35.200873, -97.441308 35.200868, -97.441318 35.202507))",Polygon 7,
"POLYGON ((-97.442252 35.200873, -97.442251 35.202834, -97.442371 35.202835, -97.442898 35.202815, -97.443175 35.202792, -97.443173 35.202678, -97.443286 35.202602, -97.444257 35.202554, -97.444265 35.200913, -97.442252 35.200873))",Polygon 8,
"POLYGON ((-97.444265 35.200913, -97.444254 35.199773, -97.441303 35.199756, -97.441308 35.200868, -97.442252 35.200873, -97.444265 35.200913))",Polygon 9,
"POLYGON ((-97.444254 35.199773, -97.444256 35.198067, -97.442499 35.19805, -97.442022 35.19808, -97.441936 35.198111, -97.44181 35.198129, -97.441313 35.198118, -97.441303 35.199756, -97.444254 35.199773))",Polygon 10,
"POLYGON ((-97.444256 35.198067, -97.44424 35.196705, -97.441327 35.196736, -97.441313 35.198118, -97.44181 35.198129, -97.441936 35.198111, -97.442022 35.19808, -97.442499 35.19805, -97.444256 35.198067))",Polygon 11,
"POLYGON ((-97.4470977 35.199769, -97.447118 35.19668, -97.44424 35.196705, -97.444254 35.199773, -97.4470977 35.199769))",Polygon 12,
"POLYGON ((-97.441278 35.203876, -97.440175 35.203883, -97.437051 35.203885, -97.436979 35.207487, -97.44128 35.207482, -97.441282 35.207104, -97.441253 35.206966, -97.441171 35.206812, -97.440998 35.206594, -97.440942 35.206484, -97.440913 35.206358, -97.440923 35.205364, -97.440967 35.205193, -97.441219 35.204889, -97.441286 35.204703, -97.441278 35.203876))",Polygon 13,
"POLYGON ((-97.437051 35.203885, -97.432904 35.203863, -97.435202 35.207471, -97.435668 35.207486, -97.436979 35.207487, -97.437051 35.203885))",Polygon 14,
